pt_root_id,total_myelin_length,cell_type,number_of_segments
864691135941293057,402.15,6P-CT,19
864691136579098388,506.69,23P,59
864691135694264511,1256.63,4P,85
864691135684657079,424.4,23P,49
864691135688823008,341.1,6P-IT,118
864691136335150259,873.4,5P-ET,88
864691136390474359,0.0,23P,55
864691135517531786,98.07,23P,63
864691135479592902,0.0,23P,56
864691136914031601,326.09,4P,55
864691135562001633,783.51,BC,645
864691136904595890,0.0,23P,37
864691135491204327,394.31,23P,27
864691135911301033,660.34,23P,60
864691135209947769,798.68,5P-IT,84
864691135688375264,249.13,23P,80
864691135562410721,240.03,6P-IT,52
864691135593659947,52.56,4P,83
864691136175901190,326.56,5P-IT,57
864691135492023271,325.77,23P,41
864691136090670903,0.0,23P,47
864691136117613476,66.36,23P,54
864691135954021923,776.27,5P-IT,106
864691136618530267,0.0,4P,48
864691135134155168,175.48,23P,46
864691136195400150,411.86,23P,72
864691136674749575,89.62,23P,78
864691135404765166,25.5,MC,183
864691135816765775,93.03,23P,69
864691135280481697,374.45,5P-IT,55
864691136975144988,467.45,23P,77
864691135725842603,108.73,4P,71
864691136724880893,489.34,23P,31
864691136274712254,1.61,6P-IT,39
864691136227020113,162.06,6P-CT,29
864691135375767369,3.13,5P-IT,55
864691135885140848,526.42,23P,69
864691136619096795,504.68,5P-IT,60
864691135209432185,1157.2,23P,70
864691134966014495,979.83,23P,100
864691135115058329,36.14,BC,194
864691135750141481,0.0,23P,56
864691135464758173,156.7,BC,479
864691136195818828,4.25,23P,70
864691136488999186,0.0,4P,47
864691135867644805,2.31,5P-IT,36
864691135463695429,688.35,23P,49
864691136273494206,69.12,23P,35
864691135885663600,0.0,5P-NP,98
864691135375976521,1360.08,BC,656
864691136812081779,188.15,23P,85
864691135849699166,1534.4,5P-IT,84
864691136177029382,0.92,6P-IT,34
864691135113733529,435.02,4P,62
864691135742189163,0.0,4P,37
864691135324361372,113.19,4P,61
864691135375182792,151.51,5P-IT,131
864691136674274951,241.83,23P,61
864691135384292843,68.56,4P,61
864691135492613471,0.0,23P,48
864691136138335101,0.0,6P-IT,45
864691136742244188,0.0,4P,53
864691136437883550,350.95,5P-IT,72
864691135975539779,64.03,23P,101
864691136420210327,2.28,4P,39
864691136725655037,0.0,23P,45
864691135970226021,220.86,23P,80
864691135114295961,0.0,5P-IT,127
864691136009871790,220.76,23P,69
864691136620195213,18.23,MC,146
864691135697613077,862.83,5P-ET,49
864691135993150913,150.25,23P,89
864691135395617525,586.35,4P,91
864691134965778719,0.0,23P,74
864691135971076965,14.31,BC,276
864691136742874716,78.05,BC,380
864691135517665235,0.0,4P,43
864691136025333561,0.0,4P,100
864691135952122147,185.91,23P,105
864691135293605558,0.0,4P,69
864691135988769027,51.26,23P,96
864691135701676411,381.81,23P,146
864691135742327147,174.54,6P-IT,25
864691135701896315,71.78,23P,39
864691135777381805,259.94,6P-IT,55
864691135234387801,60.33,23P,48
864691135503798965,459.28,6P-IT,413
864691135157198692,0.0,23P,44
864691136089194039,1143.66,5P-ET,60
864691135498973715,146.06,23P,53
864691135585046648,468.06,23P,19
864691135572576237,0.0,23P,55
864691135211568576,25.8,4P,51
864691135196040746,990.82,5P-ET,69
864691136311451226,0.0,6P-IT,75
864691135646493679,142.44,BPC,99
864691135491167207,159.46,23P,37
864691135375603400,416.73,5P-IT,92
